400899387,Raptors,Lakers,123,114
Brandon Ingram,SF,0,25,2-4,0-0,2-6,0,3,3,2,0,1,1,2,-1,6
Jordan Clarkson,PG,0,18,6-9,3-6,1-3,3,4,7,3,0,0,1,3,+5,16
Lou Williams,SG,0,17,4-9,1-4,5-5,0,1,1,2,1,0,0,0,-1,14
Ivica Zubac,C,0,DNP-COACH'S DECISION
Jose Calderon,PG,0,DNP-COACH'S DECISION
Marcelo Huertas,PG,0,DNP-COACH'S DECISION
TEAM,,,,42-82,17-33,15-28,9,34,43,34,5,2,9,23,,116
 ,,,,51.2%,51.5%,53.6%

400899458,Lakers,Jazz,89,96
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Julius Randle,PF,1,27,3-7,1-1,0-0,1,3,4,1,0,2,2,4,-9,7
Luol Deng,SF,1,34,5-12,2-5,0-0,2,10,12,0,2,1,1,2,-16,12
Timofey Mozgov,C,1,23,1-4,0-0,6-7,1,5,6,1,1,2,1,5,-14,8
D'Angelo Russell,PG,1,32,3-14,1-5,2-5,2,3,5,5,2,0,4,3,-17,9
Nick Young,SG,1,24,3-7,1-2,6-6,0,0,0,0,0,1,0,5,-12,13
BENCH,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Thomas Robinson,PF,0,2,0-1,0-0,0-0,0,0,0,0,0,0,0,1,-1,0
Tarik Black,PF,0,10,4-6,0-0,0-0,4,3,7,0,0,0,0,2,+5,8
Larry Nance Jr.,PF,0,16,2-4,1-2,0-1,0,3,3,0,0,0,0,2,+7,5
Brandon Ingram,SF,0,4,1-2,0-1,0-0,0,0,0,0,0,0,0,1,+3,2
Jordan Clarkson,PG,0,25,2-9,0-3,0-0,0,2,2,0,0,1,3,2,-2,4
Marcelo Huertas,PG,0,15,2-6,0-0,0-0,1,3,4,3,0,0,2,0,+13,4
Lou Williams,SG,0,27,6-12,3-4,2-2,0,0,0,6,1,0,1,2,+8,17
Metta World Peace,SF,0,DNP-COACH'S DECISION
TEAM,,,,32-84,9-23,16-21,11,32,43,16,6,7,14,29,,89
 ,,,,38.1%,39.1%,76.2%
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Boris Diaw,C,1,18,0-1,0-0,0-0,1,2,3,2,0,0,1,1,+8,0
Rudy Gobert,C,1,32,4-9,0-0,5-8,6,7,13,1,0,4,1,2,+11,13
George Hill,PG,1,35,7-14,2-7,7-9,0,3,3,3,0,1,1,4,+7,23
Joe Johnson,SG,1,32,4-11,1-4,2-2,2,5,7,2,0,0,1,1,+18,11
Rodney Hood,SG,1,32,5-14,2-8,3-5,0,6,6,1,1,0,1,4,+3,15
BENCH,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Trey Lyles,PF,0,18,2-8,1-4,1-1,0,2,2,0,0,0,1,0,-17,6
Derrick Favors,PF,0,20,4-7,0-0,7-11,4,4,8,2,2,2,5,3,+3,15
Joe Ingles,SF,0,8,0-1,0-0,0-0,0,1,1,0,0,0,1,1,+1,0
Dante Exum,PG,0,22,1-2,0-1,2-2,0,0,0,2,0,0,1,0,-3,4
Shelvin Mack,PG,0,23,4-8,0-1,1-2,0,4,4,1,1,0,1,2,+4,9
Joel Bolomboy,PF,0,DNP-COACH'S DECISION
Jeff Withey,C,0,DNP-COACH'S DECISION
Raul Neto,PG,0,DNP-COACH'S DECISION
TEAM,,,,31-75,6-25,28-40,13,34,47,14,4,7,14,18,,96
 ,,,,41.3%,24.0%,70.0%

400899490,Lakers,Thunder,96,113
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Julius Randle,PF,1,32,7-10,0-1,6-9,1,8,9,3,3,0,2,4,-10,20
Luol Deng,SF,1,22,0-3,0-2,0-0,1,1,2,3,1,1,1,1,+7,0
